SET	PDB_ID	CLUSTER_ID
TEST	7rex_A	1034
TEST	7rex_B	1034
TEST	5dea_C	256
TEST	5de5_A	256
TEST	5de5_C	256
TEST	5de8_C	256
TEST	5de8_A	256
TEST	5dea_A	256
TEST	6wde_4	658
TEST	6wdm_4	658
TEST	6wdk_4	658
TEST	4c7o_E	1740
TEST	6o0z_C	1894
TEST	1r3e_C	2185
TEST	7okx_T	735
TEST	7ol0_T	735
TEST	7oky_T	735
TEST	6xu7_A9	2524
TEST	6c6s_B	741
TEST	6c6t_B	741
TEST	6lu0_B	488
TEST	6ltr_B	488
TEST	6ltu_B	488
TEST	5jup_EC	225
TEST	5jus_EC	225
TEST	5juo_EC	225
TEST	5jut_EC	225
TEST	7oop_P	1977
TEST	3jcj_v	106
TEST	4v75_A3	106
TEST	5me1_X	106
TEST	5me0_X	106
TEST	6o9k_y	106
TEST	3jcn_v	106
TEST	1h1k_N	2193
TEST	4v7a_A2	1569
TEST	2jtp_A	1382
TEST	4qjh_E	2214
TEST	7mq9_N0	807
TEST	2m24_A	1871
TEST	6gml_N	1682
TEST	6rh3_N	731
TEST	5krg_A	280
TEST	5l00_A	280
TEST	5krg_C	280
TEST	6u6j_A	280
TEST	5v0h_A	280
TEST	5l00_C	280
TEST	6wlq_A	501
TEST	6uet_A	501
TEST	6ues_A	501
TEST	6wlr_A	501
TEST	6v3a_v	662
TEST	6v39_v	662
TEST	6ybw_7	2388
TEST	7ob9_T	1930
TEST	6c6u_B	2502
TEST	6id1_G	2203
TEST	420d_A	297
TEST	420d_B	297
TEST	6gtd_B	1441
TEST	1xwu_A	873
TEST	7vbc_T	904
TEST	2lpt_A	1799
TEST	6xu6_A9	706
TEST	6xu8_A9	706
TEST	4a3k_T	519
TEST	4a3d_T	519
TEST	4v1m_T	519
TEST	6exn_2	1558
TEST	5mq0_2	1558
TEST	6bk8_2	1558
TEST	1o9m_A	552
TEST	2f4u_A	552
TEST	2lbk_A	1514
TEST	7k51_4	1460
TEST	5mps_I	2468
TEST	5mq0_I	2468
TEST	6n4o_C	2247
TEST	3loa_B	1157
TEST	7eia_A	2700
TEST	5lqw_2	1522
TEST	7onu_T	2217
TEST	2jrg_A	178
TEST	2jrq_A	178
TEST	2jsg_A	178
TEST	2jr4_A	178
TEST	6ysr_x	1731
TEST	6w6l_u	2259
TEST	7waz_B	2319
TEST	7b0y_P	376
TEST	6wlt_A	1316
TEST	6wlu_A	1316
TEST	7f36_G	156
TEST	5j8b_w	156
TEST	3jce_6	156
TEST	7f36_F	156
TEST	7aqd_T	156
TEST	7aqc_T	156
TEST	6y4b_F	156
TEST	3hjf_Y	1003
TEST	4v9l_AV	1287
TEST	4v9m_AV	1287
TEST	1y99_A	826
TEST	7mlb_H	2709
TEST	4ol8_C	2070
TEST	2krw_A	1688
TEST	6rti_X	1551
TEST	5uq8_z	867
TEST	7lyg_A	867
