SET	PDB_ID	CLUSTER_ID
TRAIN	1f27_A	1426
TRAIN	2u2a_A	1256
TRAIN	1u2a_A	1256
TRAIN	5t2a_D	124
TRAIN	3jcs_8	124
TRAIN	6az3_8	124
TRAIN	7v94_B	246
TRAIN	7v93_B	246
TRAIN	7d4i_5A	130
TRAIN	7aju_D2	130
TRAIN	6zqd_D2	130
TRAIN	6zqe_D2	130
TRAIN	7d5t_5A	130
TRAIN	1tlr_A	1074
TRAIN	4k4s_F	1545
TRAIN	4k4s_B	1545
TRAIN	5msf_R	1454
TRAIN	2lkr_A	147
TRAIN	5fj8_S	1780
TRAIN	2nok_B	1241
TRAIN	2pn4_B	1241
TRAIN	2nok_D	1241
TRAIN	2pn4_D	1241
TRAIN	2pn3_B	1241
TRAIN	5xwp_E	442
TRAIN	5xwp_C	442
TRAIN	5xwy_B	442
TRAIN	5xwp_D	442
TRAIN	5xwp_F	442
TRAIN	4v9e_Aa	674
TRAIN	4v9e_Bg	674
TRAIN	6tz2_N	674
TRAIN	4v9e_Ba	674
TRAIN	4v9e_Am	674
TRAIN	4v9e_Bm	674
TRAIN	4v9e_Ag	674
TRAIN	3dkn_D	1249
TRAIN	2deu_C	327
TRAIN	2der_C	327
TRAIN	2deu_D	327
TRAIN	2der_D	327
TRAIN	5hr7_C	327
TRAIN	5hr7_D	327
TRAIN	2det_C	327
TRAIN	5hr6_C	327
TRAIN	5hr6_D	327
TRAIN	6oj2_QW	286
TRAIN	6oj2_XW	286
TRAIN	6of6_XW	286
TRAIN	6of6_QW	286
TRAIN	6q9a_7	286
TRAIN	7aqd_T	286
TRAIN	7aqc_T	286
TRAIN	6oj2_XY	286
TRAIN	6ord_QY	286
TRAIN	6ord_XY	286
TRAIN	6of6_QY	286
TRAIN	6oj2_QY	286
TRAIN	6of6_XY	286
TRAIN	6ope_XY	286
TRAIN	6ope_QY	286
TRAIN	7as9_2	286
TRAIN	7as8_2	286
TRAIN	7ope_2	286
TRAIN	7aqc_P	286
TRAIN	7ctt_T	1500
TRAIN	2m23_A	857
TRAIN	2m1v_A	857
TRAIN	2m24_A	857
TRAIN	1j1u_B	329
TRAIN	4v6w_BC	309
TRAIN	6xu7_B	309
TRAIN	7a09_f	309
TRAIN	6zp4_1	309
TRAIN	4kzz_j	309
TRAIN	7cpv_S6	309
TRAIN	6ybv_w	309
TRAIN	6hcq_33	309
TRAIN	5k0y_N	309
TRAIN	6zmw_w	309
TRAIN	6y57_B4	309
TRAIN	6hcj_33	309
TRAIN	4ug0_S6	309
TRAIN	7cpu_S6	309
TRAIN	5t2c_An	309
TRAIN	6fec_N	309
TRAIN	4v6x_BC	309
TRAIN	7nrd_S3	793
TRAIN	7elh_S	417
TRAIN	7elh_R	417
TRAIN	4s3n_C	1343
TRAIN	4rwn_C	1343
TRAIN	4rwo_C	1343
TRAIN	4s3n_B	1343
TRAIN	4rwn_B	1343
TRAIN	4rwo_B	1343
TRAIN	4rwp_B	1343
TRAIN	5h9f_M	887
TRAIN	2mkn_C	1326
TRAIN	2mkn_B	1326
TRAIN	6cyt_N	1605
TRAIN	6zu5_L70	125
TRAIN	6xmg_C	95
TRAIN	6xmf_C	95
TRAIN	6xmg_E	95
TRAIN	6ugi_A	812
TRAIN	6ugj_A	812
TRAIN	6ufj_C	497
TRAIN	6ufk_A	497
TRAIN	6ufj_A	497
TRAIN	6ufk_C	497
TRAIN	5ktj_C	497
TRAIN	5ktj_A	497
TRAIN	4v8m_BD	121
TRAIN	5t5h_D	121
TRAIN	4e5c_A	1365
TRAIN	4e5c_B	1365
TRAIN	4gzy_T	1105
TRAIN	4gzz_T	1105
TRAIN	3cul_C	202
TRAIN	3cun_C	202
TRAIN	3cun_D	202
TRAIN	3cul_D	202
TRAIN	1i6u_C	670
TRAIN	1i6u_D	670
TRAIN	6nit_F	1276
TRAIN	5u0a_M	500
TRAIN	6c66_L	500
TRAIN	4qyz_M	500
TRAIN	5awh_F	1450
TRAIN	5awh_D	1450
TRAIN	2mxl_A	641
TRAIN	7elh_U	814
TRAIN	3j81_3	1123
TRAIN	6a5o_T	41
TRAIN	6j4w_T	41
TRAIN	6a5o_N	41
TRAIN	6a5p_T	41
TRAIN	6j4w_N	41
TRAIN	6a5p_N	41
TRAIN	7nkx_T	41
TRAIN	6a5r_T	41
TRAIN	6ir9_T	41
TRAIN	6j50_T	41
TRAIN	6j4z_T	41
TRAIN	6j4y_T	41
TRAIN	6j51_T	41
TRAIN	6j4x_T	41
TRAIN	6a5r_N	41
TRAIN	6a5l_T	41
TRAIN	6a5u_T	41
TRAIN	6a5t_T	41
TRAIN	6inq_T	41
TRAIN	6j50_N	41
